!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                     !
!          data file        :         put/spec.dat                    !
!          t-matrix file    :    output/tmatrix.tl                    !
!          rad integral file:    utput/tmatrix.rad                    !
!          cluster file     :     tput/cluster.clu                    !
!                                                                     !
!                                                                     !
!          spectroscopy     :      PHD        algorithm : SE          !
!               NO = 2  NDIF =  5  IFWD = 0  IPW = 0  ILENGTH = 0     !
!          inner potential  :      0.00 eV                            !
!                                                                     !
!          initial state    : 2p     selection rules: INITL =  2      !
!                                                                     !
!          incoming beam    :                                         !
!          THETA_LUM:    55.15  PHI_LUM:   -44.70  E_LUM:  1486.60 eV !
!                                                                     !
!          outgoing beam    :                                         !
!          THETA_INI:   -80.00      THETA_FIN:    79.50               !
!          PHI_INI  :     0.00      PHI_FIN  :     0.00               !
!          E_INI    :   379.10 eV   E_FIN    :   379.10 eV            !
!                                                                     !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

  PHD           CROSS-SECTION
  0  0  0  0  0  0  1  0
   1   320     1    7  0
    7  -65.00    0.00    379.10  0.950036E-03  0.194541E-02
    0  -65.00    0.00    379.10  0.950036E-03  0.194541E-02
   -1  -65.00    0.00    379.10  0.950036E-03  0.194541E-02
    1  -64.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -64.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -64.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -64.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -64.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -64.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -64.50    0.00    379.10  0.103644E-02  0.199564E-02
    0  -64.50    0.00    379.10  0.103644E-02  0.199564E-02
   -1  -64.50    0.00    379.10  0.103644E-02  0.199564E-02
    1  -64.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -64.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -64.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -64.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -64.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -64.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -64.00    0.00    379.10  0.112678E-02  0.123717E-02
    0  -64.00    0.00    379.10  0.112678E-02  0.123717E-02
   -1  -64.00    0.00    379.10  0.112678E-02  0.123717E-02
    1  -63.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -63.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -63.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -63.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -63.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -63.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -63.50    0.00    379.10  0.122099E-02  0.125372E-02
    0  -63.50    0.00    379.10  0.122099E-02  0.125372E-02
   -1  -63.50    0.00    379.10  0.122099E-02  0.125372E-02
    1  -63.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -63.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -63.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -63.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -63.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -63.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -63.00    0.00    379.10  0.131897E-02  0.194994E-02
    0  -63.00    0.00    379.10  0.131897E-02  0.194994E-02
   -1  -63.00    0.00    379.10  0.131897E-02  0.194994E-02
    1  -62.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -62.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -62.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -62.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -62.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -62.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -62.50    0.00    379.10  0.142065E-02  0.194990E-02
    0  -62.50    0.00    379.10  0.142065E-02  0.194990E-02
   -1  -62.50    0.00    379.10  0.142065E-02  0.194990E-02
    1  -62.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -62.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -62.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -62.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -62.00    0.00    379.10  0.000000E+00  0.000000E+00
    6  -62.00    0.00    379.10  0.000000E+00  0.000000E+00
    7  -62.00    0.00    379.10  0.152593E-02  0.154181E-02
    0  -62.00    0.00    379.10  0.152593E-02  0.154181E-02
   -1  -62.00    0.00    379.10  0.152593E-02  0.154181E-02
    1  -61.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -61.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -61.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -61.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -61.50    0.00    379.10  0.000000E+00  0.000000E+00
    6  -61.50    0.00    379.10  0.000000E+00  0.000000E+00
    7  -61.50    0.00    379.10  0.163471E-02  0.188607E-02
    0  -61.50    0.00    379.10  0.163471E-02  0.188607E-02
   -1  -61.50    0.00    379.10  0.163471E-02  0.188607E-02
    1  -61.00    0.00    379.10  0.000000E+00  0.000000E+00
